hora_ET,precio,madurez,secuencia_entrada,nivel_recuperado,stop,objetivo,RR,elegible,motivos
2026-08-31 11:30,77.32,,,,76.78234905036523758905765570,80.51,5.933217456729192125951913158,False,countertrend_invalidated | countertrend_expired
2026-08-31 11:45,76.98,,,,76.78234905036523758905765570,80.51,17.85976746645062121167027365,False,countertrend_invalidated | countertrend_expired
2026-08-31 12:00,76.1,,,,76.78234905036523758905765570,80.51,,False,countertrend_invalidated | countertrend_expired | target_or_invalidation_order_failed
2026-08-31 12:15,76.17,,,,76.78234905036523758905765570,80.51,,False,countertrend_invalidated | countertrend_expired | target_or_invalidation_order_failed
2026-08-31 12:30,76.87,,,,76.78234905036523758905765570,80.51,41.52835782347729589890904423,False,countertrend_invalidated | countertrend_expired
2026-08-31 12:45,77.705,,,,76.78234905036523758905765570,80.51,3.040152943115029720946875686,False,countertrend_invalidated | countertrend_expired
2026-08-31 13:00,76.98,,,,76.78234905036523758905765570,80.51,17.85976746645062121167027365,False,countertrend_invalidated | countertrend_expired
2026-08-31 13:15,77.45,,,,76.78234905036523758905765570,80.51,4.583233202430055772323175800,False,countertrend_invalidated | countertrend_expired
2026-08-31 13:30,77.08,,,,76.78234905036523758905765570,77.3501,0.9074387309411602224232379428,False,countertrend_invalidated | countertrend_expired | insufficient_reward_risk
2026-08-31 13:45,77.2,,,,76.78234905036523758905765570,77.3501,0.3593910181007923218661652448,False,countertrend_invalidated | countertrend_expired | insufficient_reward_risk
2026-08-31 14:00,77.4,,,,76.78234905036523758905765570,77.5,0.1619037420069269421345870046,False,countertrend_invalidated | countertrend_expired | insufficient_reward_risk
2026-08-31 14:15,77.43,,,,76.78234905036523758905765570,77.5,0.1080829110796115436270884852,False,countertrend_invalidated | countertrend_expired | insufficient_reward_risk
2026-08-31 14:30,77.385,,,,76.78234905036523758905765570,77.5,0.1908235605862662909664796722,False,countertrend_invalidated | countertrend_expired | insufficient_reward_risk
